Company,Industry,User-Content
Asahi Songwon,dyes-pigments,
Clariant Chem,dyes-pigments,
Jaysynth Dyestu,dyes-pigments,
Bhageria Indu,dyes-pigments,
Amal,dyes-pigments,
Generic Pharmas,dyes-pigments,
Sadhana Nitro,dyes-pigments,
Vipul Organics,dyes-pigments,
Dynemic Product,dyes-pigments,
Dynamic Ind,dyes-pigments,
Shree Hari Chem,dyes-pigments,
Daikaffil Chem,dyes-pigments,
Bagadia Colour,dyes-pigments,
Chromatic India,dyes-pigments,
Kiri Industries,dyes-pigments,
Vivid Global,dyes-pigments,
Vidhi Spec,dyes-pigments,
Indokem,dyes-pigments,
Sudarshan Chem,dyes-pigments,
Camex,dyes-pigments,
Gokul Refoils,edible-oils-solvent-extraction,
Guj Amb Exports,edible-oils-solvent-extraction,
Agro Tech Foods,edible-oils-solvent-extraction,
Vijay Solvex,edible-oils-solvent-extraction,
KSE,edible-oils-solvent-extraction,
Ruchinfra,edible-oils-solvent-extraction,
Ruchi Soya,edible-oils-solvent-extraction,
Gokul Agro,edible-oils-solvent-extraction,
AVT Natural,edible-oils-solvent-extraction,
Vegetable Prod,edible-oils-solvent-extraction,
Kriti Nutrients,edible-oils-solvent-extraction,
CG Power ,electric-equipment,
Bharat Bijlee,electric-equipment,
Apar Ind,electric-equipment,
Easun Reyrl,electric-equipment,
Lakshmi Elec,electric-equipment,
V-Guard Ind,electric-equipment,
Kirl Electric,electric-equipment,
Havells India,electric-equipment,
HPL Electric & ,electric-equipment,
Igarashi Motors,electric-equipment,
Eon Electric,electric-equipment,
Triveni Turbine,electric-equipment,
De Nora India,electric-equipment,
RTS Power Corp,electric-equipment,
Emco,electric-equipment,
Salzer Electro,electric-equipment,
HBL Power,electric-equipment,
Veto Switch,electric-equipment,
Rexnord Electro,electric-equipment,
Bharat Elec,electricals,
CG Consumer,electricals,
Genus Power,electricals,
Centum Electron,electricals,
Dixon Technolog,electricals,
Hind Rectifiers,electricals,
Fine-line Circ,electricals,
BCC Fuba,electricals,
Graphite India,electrodes-graphite,
HEG,electrodes-graphite,
Esab India,electrodes-graphite,
Ador Fontech,electrodes-graphite,
Ador Welding,electrodes-graphite,
D & H India,electrodes-graphite,
Rasi Electrodes,electrodes-graphite,
Quess Corp,engineering,
